"OrchestrationApplicationCode","StatusCode","ProcessName","SequenceNumber","DooProcessVersion","NotifyFlag","CreatedBy","LastUpdatedBy","ConditionDisplayTaskCode"
"DOO","ACT_SCHEDULED","CustomDOO_GSEE360_OrderFulfillmentGenericProcess","100","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","ASSET_COMPLETED","CustomDOO_GSEE360_OrderFulfillmentGenericProcess","950","1","N","SCM_IMPL","SCM_IMPL","""DOO_AssetManagement""=""ASSET_COMPLETED"""
"DOO","AWAIT_BILLING","CustomDOO_GSEE360_OrderFulfillmentGenericProcess","1000","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","AWAIT_FLINE_AGGREGATE","CustomDOO_GSEE360_OrderFulfillmentGenericProcess","110","1","N","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_FLINE_AGGREGATE"""
"DOO","AWAIT_FULFILLMENT","CustomDOO_GSEE360_OrderFulfillmentGenericProcess","120","1","N","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_FULFILLMENT"""
"DOO","AWAIT_SHIP","CustomDOO_GSEE360_OrderFulfillmentGenericProcess","150","1","N","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_SHIP""OR""DOO_Procure""=""VARIOUS"""
"DOO","AWAIT_SHIP","CustomDOO_GSEE360_OrderFulfillmentGenericProcess","220","1","N","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""AWAIT_SHIP""OR""DOO_SHIP_BACK_TO_BACK""=""VARIOUS"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect3","5","1","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","SCHEDULED","ClickShipCollect3","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ClickShipCollect3","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SKU_PICKED","ClickShipCollect3","25","1","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect3","30","1","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_SHIP","ClickShipCollect3","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect3","45","1","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect3","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","PICKED","ClickShipCollect3","60","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","SHIPPED","ClickShipCollect3","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","BILLED","ClickShipCollect3","90","1","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect2","5","2","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","SCHEDULED","ClickShipCollect2","10","2","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ClickShipCollect2","20","2","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SKU_PICKED","ClickShipCollect2","25","2","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect2","30","2","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_SHIP","ClickShipCollect2","40","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect2","45","2","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect2","50","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","PICKED","ClickShipCollect2","60","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","SHIPPED","ClickShipCollect2","70","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","BILLED","ClickShipCollect2","90","2","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","AWAIT_SHIP","ClickShipCollect3","40","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","SHIPPED","ClickShipCollect3","70","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","AWAIT_SHIP","ShipOrderGenericProcessIA1","30","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ShipOrderGenericProcessIA1","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","PICKED","ShipOrderGenericProcessIA1","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","SHIPPED","ShipOrderGenericProcessIA1","60","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","AWAIT_OTHER_LINES","ShipOrderGenericProcessIA1","65","1","N","SCM_IMPL","SCM_IMPL","""DOO_Pause""=""WAITING"""
"DOO","AWAIT_BILLING","ShipOrderGenericProcessIA1","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","BILLED","ShipOrderGenericProcessIA1","80","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_PICK","ShipOrderGenericProcessIA1","90","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PARTIAL_BACK","ShipOrderGenericProcessIA1","100","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","SCH_MANUAL","ShipOrderGenericProcessIA1","110","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION"""
"DOO","RES_MANUAL","ShipOrderGenericProcessIA1","120","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION"""
"DOO","SCHEDULED","ShipOrderGenericProcessIA1","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ShipOrderGenericProcessIA1","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","AWAIT_BILLING","ShipOrderGenericProcessIA1","70","2","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","AWAIT_OTHER_LINES","ShipOrderGenericProcessIA1","65","2","N","SCM_IMPL","SCM_IMPL","""DOO_Pause""=""WAITING"""
"DOO","AWAIT_SHIP","ShipOrderGenericProcessIA1","30","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ShipOrderGenericProcessIA1","40","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","BILLED","ShipOrderGenericProcessIA1","80","2","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_BACK","ShipOrderGenericProcessIA1","100","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","PARTIAL_PICK","ShipOrderGenericProcessIA1","90","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","SCHEDULED","ManualShipOrderGenericProcess","1","1","","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ManualShipOrderGenericProcess","2","1","","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","AWAIT_SHIP","ManualShipOrderGenericProcess","3","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ManualShipOrderGenericProcess","4","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","PICKED","ManualShipOrderGenericProcess","5","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","SHIPPED","ManualShipOrderGenericProcess","6","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","AWAIT_BILLING","ManualShipOrderGenericProcess","7","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","BILLED","ManualShipOrderGenericProcess","8","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_PICK","ManualShipOrderGenericProcess","9","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PARTIAL_BACK","ManualShipOrderGenericProcess","10","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","SCH_MANUAL","ManualShipOrderGenericProcess","12","1","","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION"""
"DOO","RES_MANUAL","ManualShipOrderGenericProcess","13","1","","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect1","5","1","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","SCHEDULED","ClickShipCollect1","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ClickShipCollect1","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SKU_PICKED","ClickShipCollect1","25","1","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect1","30","1","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_SHIP","ClickShipCollect1","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect1","45","1","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","PICKED","ClickShipCollect1","60","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","SHIPPED","ClickShipCollect1","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","BILLED","ClickShipCollect1","90","1","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","SCHEDULED","ShipOrderProcess","1","1","","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","AWAIT_SHIP","ShipOrderProcess","3","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ShipOrderProcess","4","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","PICKED","ShipOrderProcess","5","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","SHIPPED","ShipOrderProcess","6","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","BILLED","ShipOrderProcess","8","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_PICK","ShipOrderProcess","9","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PARTIAL_BACK","ShipOrderProcess","10","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","PRE-ORDER","ClickShipCollect3","3","1","N","SCM_IMPL","SCM_IMPL","""Pre-order""=""WAITING"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect2","5","1","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","SCHEDULED","ClickShipCollect2","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","SKU_PICKED","ClickShipCollect2","25","1","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect2","30","1","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_SHIP","ClickShipCollect2","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect2","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","PICKED","ClickShipCollect2","60","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","SHIPPED","ClickShipCollect2","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","PRE-ORDER","ClickShipCollect3","3","2","N","SCM_IMPL","SCM_IMPL","""Pre-order""=""WAITING"""
"DOO","RESERVED","ShipOrderProcess1","2","1","","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","AWAIT_SHIP","ShipOrderProcess1","3","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ShipOrderProcess1","4","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","PICKED","ShipOrderProcess1","5","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","SHIPPED","ShipOrderProcess1","6","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","AWAIT_BILLING","ShipOrderProcess1","7","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","BILLED","ShipOrderProcess1","8","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_PICK","ShipOrderProcess1","9","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PARTIAL_BACK","ShipOrderProcess1","10","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect3","5","2","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","RES_MANUAL","ShipOrderProcess1","13","1","","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect1","5","2","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","SCHEDULED","ClickShipCollect1","10","2","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ClickShipCollect1","20","2","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SKU_PICKED","ClickShipCollect1","25","2","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect1","30","2","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_SHIP","ClickShipCollect1","40","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect1","45","2","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect1","50","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","PICKED","ClickShipCollect1","60","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","SHIPPED","ClickShipCollect1","70","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","BILLED","ClickShipCollect1","90","2","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","SCHEDULED","ClickShipCollect3","10","2","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ClickShipCollect3","20","2","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SKU_PICKED","ClickShipCollect3","25","2","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect3","30","2","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect3","45","2","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect3","50","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","PICKED","ClickShipCollect3","60","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","BILLED","ClickShipCollect3","90","2","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","BACKORDERED","ClickShipCollect1","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","BILLED","ClickShipCollect2","90","1","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","AWAIT_BILLING","ShipOrderProcess","7","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","SCH_MANUAL","ShipOrderProcess","12","1","","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION"""
"DOO","RESERVED","ClickShipCollect2","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect2","45","1","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect4","45","1","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","AWAIT_SHIP","ClickShipCollect4","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect4","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","BILLED","ClickShipCollect4","90","1","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect4","5","1","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect4","30","1","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","PICKED","ClickShipCollect4","60","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","RESERVED","ClickShipCollect4","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SCHEDULED","ClickShipCollect4","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","SHIPPED","ClickShipCollect4","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","SKU_PICKED","ClickShipCollect4","25","1","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU""=""SKU_PICKED"""
"DOO","PICKED","ShipOrderGenericProcessIA1","50","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","RESERVED","ShipOrderGenericProcessIA1","20","2","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","RES_MANUAL","ShipOrderGenericProcessIA1","120","2","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION"""
"DOO","SCHEDULED","ShipOrderGenericProcessIA1","10","2","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","SCH_MANUAL","ShipOrderGenericProcessIA1","110","2","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION"""
"DOO","SHIPPED","ShipOrderGenericProcessIA1","60","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","AWAIT_BILLING","ShipOrderGenericProcessSA1","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","AWAIT_OTHER_LINES","ShipOrderGenericProcessSA1","65","1","N","SCM_IMPL","SCM_IMPL","""DOO_Pause""=""WAITING"""
"DOO","AWAIT_SHIP","ShipOrderGenericProcessSA1","30","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ShipOrderGenericProcessSA1","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","BILLED","ShipOrderGenericProcessSA1","80","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_BACK","ShipOrderGenericProcessSA1","100","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","PARTIAL_PICK","ShipOrderGenericProcessSA1","90","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PICKED","ShipOrderGenericProcessSA1","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
