"ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.StatusRulesetCode","Language","Name","SourceLang"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","AR","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","CS","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","D","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","DK","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","E","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","EL","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","ESA","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","ET","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","F","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","FRC","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","HR","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","HU","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","I","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","IS","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","IW","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","JA","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","KO","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","LT","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","LV","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","N","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","NL","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","PL","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","PT","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","PTB","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","RO","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","RU","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","S","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","SF","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","SK","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","SL","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","TH","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","TR","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","UK","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","US","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","VN","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","ZHS","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","ZHT","Copy of Copy of ClickShipCollect1-Version 1","US"
"DOO","Copy of ClickShipCollect1","AR","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","CS","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","D","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","DK","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","E","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","EL","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","ESA","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","ET","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","F","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","FRC","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","HR","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","HU","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","I","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","IS","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","IW","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","JA","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","KO","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","LT","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","LV","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","N","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","NL","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","PL","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","PT","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","PTB","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","RO","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","RU","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","S","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","SF","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","SK","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","SL","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","TH","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","TR","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","UK","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","US","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","VN","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","ZHS","Copy of ClickShipCollect1","US"
"DOO","Copy of ClickShipCollect1","ZHT","Copy of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","AR","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","CS","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","D","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","DK","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","E","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","EL","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","ESA","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","ET","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","F","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","FRC","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","HR","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","HU","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","I","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","IS","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","IW","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","JA","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","KO","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","LT","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","LV","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","N","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","NL","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","PL","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","PT","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","PTB","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","RO","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","RU","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","S","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","SF","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","SK","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","SL","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","TH","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","TR","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","UK","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","US","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","VN","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","ZHS","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","ZHT","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","AR","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","CS","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","D","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","DK","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","E","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","EL","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","F","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","FRC","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","HR","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","HU","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","I","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","IW","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","JA","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","KO","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","N","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","NL","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","PL","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","PTB","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","RO","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","RU","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","S","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SF","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SK","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","TH","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","TR","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","UK","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","US","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","VN","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","ZHS","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","ZHT","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","AR","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","CS","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","D","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","DK","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","E","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","EL","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","F","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","FRC","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","HR","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","HU","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","I","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","IW","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","JA","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","KO","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","N","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","NL","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","PL","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","PTB","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","RO","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","RU","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","S","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SF","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SK","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","TH","Copy of Copy of Copy of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
