"FND_APP_DESCRIPTIVE_FLEXFIELD.DescriptiveFlexfieldCode","FND_APP_DESCRIPTIVE_FLEXFIELD.ApplicationId","ContextCode","SegmentCode","SegmentIdentifier","ColumnName","Name","Description","Prompt","ShortPrompt","TerminologyHelpText","InFieldHelpText","DisplayType","DisplayWidth","RequiredFlag","DefaultType","DefaultValue","DerivationValue","ReadOnlyFlag","BIEnabledFlag","BIEqualizationTag","CreationDate","CreatedBy","LastUpdateDate","LastUpdatedBy","LastUpdateLogin","ValueSetCode"
"IRC_OFFERS_DFF","821","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Offers Context Segment","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2017/03/19 07:26:33.369","SEED_DATA_FROM_APPLICATION","2018/10/11 20:42:13.751","CUSTOMIZED_USER","77FAEFF3E34A61CCE0537990DF0A20D5",""
"PER_JOBS_DFF","800","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","The Context Segment","Context Value","Context Value","","","TEXT_BOX","30","N","","","","N","N","","2013/08/08 06:37:44.339","SEED_DATA_FROM_APPLICATION","2014/02/10 14:31:58.071","SEED_DATA_FROM_APPLICATION","-1",""
"RA_INTERFACE_LINES","222","Context Data Element","Context Segment","","INTERFACE_LINE_CONTEXT","Context Segment","","Context Value","Context Value","","","TEXT_BOX","30","N","","","","N","N","","2013/08/08 06:37:24.823","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.983","SEED_DATA_FROM_APPLICATION","-1",""
"PO_ATTRIBUTE_VALUES","201","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Prompt","Context Prompt","","","TEXT_BOX","30","N","","","","N","N","","2013/08/08 06:25:54.173","SEED_DATA_FROM_APPLICATION","2013/08/08 06:25:54.218","SEED_DATA_FROM_APPLICATION","-1",""
"PO_HEADERS","201","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Eligible for Rebate?","Context Prompt","","","LOV","30","N","","","","N","Y","","2013/08/08 06:25:55.007","SEED_DATA_FROM_APPLICATION","2021/02/02 16:39:48.998","CUSTOMIZED_USER","BA5DD57CBA9FFDA5E0539E90DF0AD870","Rebate_Yes_No"
"POR_INFORMATION_TEMPLATE","10071","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Context used to identify a set of attributes when creating or editing an information template.","Context Value","Context Value","","","TEXT_BOX","30","N","","","","N","N","","2013/08/08 06:29:41.24","SEED_DATA_FROM_APPLICATION","2013/08/08 06:29:41.289","SEED_DATA_FROM_APPLICATION","-1",""
"EXM_EXPENSES","10016","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Expense Type","Expense Type","","","LOV","30","N","","","","N","N","","2013/08/08 06:34:35.154","SEED_DATA_FROM_APPLICATION","2018/10/11 20:04:29.138","CUSTOMIZED_USER","77F4A974A2E8594AE0537990DF0A46E3","EXM_EXPENSE_TYPES"
"PJF_PROJECTS_DESC_FLEX","10037","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Context segment for project","Context Prompt","Context Prompt","","","HIDDEN","30","N","","","","N","N","","2013/08/08 06:33:34.106","SEED_DATA_FROM_APPLICATION","2013/12/31 06:21:22.006","SEED_DATA_FROM_APPLICATION","-1",""
"FRC_ASSESSMENT_CONTROL_DFF","10130","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2018/05/23 17:02:43.201","SEED_DATA_FROM_APPLICATION","2020/09/09 14:38:11.931","CUSTOMIZED_USER","AEE35DB076175C32E0539E90DF0A0546",""
"FRC_ASSESSMENT_PROCESS_DFF","10130","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2018/05/23 17:02:50.435","SEED_DATA_FROM_APPLICATION","2020/09/09 14:38:21.015","CUSTOMIZED_USER","AEE35DB076175C32E0539E90DF0A0546",""
"FRC_ASSESSMENT_RISK_DFF","10130","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2018/05/23 17:02:52.125","SEED_DATA_FROM_APPLICATION","2020/09/09 14:38:42.198","CUSTOMIZED_USER","AEE35DB076175C32E0539E90DF0A0546",""
"FRC_CONTROL_DFF","10130","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","Y","","2017/08/17 00:31:32.064","SEED_DATA_FROM_APPLICATION","2017/12/18 20:02:35.216","CUSTOMIZED_USER","60A34617B7024CF0E0536AA0FD0ACD4F",""
"FRC_ISSUE_DFF","10130","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2018/02/23 03:00:01.628","SEED_DATA_FROM_APPLICATION","2020/09/09 14:37:47.0","CUSTOMIZED_USER","AEE35DB076175C32E0539E90DF0A0546",""
"FRC_PROCESS_DFF","10130","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2017/08/17 00:31:54.444","SEED_DATA_FROM_APPLICATION","2020/09/09 14:39:14.544","CUSTOMIZED_USER","AEE35DB076175C32E0539E90DF0A0546",""
"FRC_REMEDIATION_PLAN_DFF","10130","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2018/05/23 17:02:54.68","SEED_DATA_FROM_APPLICATION","2020/09/09 14:38:52.805","CUSTOMIZED_USER","AEE35DB076175C32E0539E90DF0A0546",""
"FRC_RISK_DFF","10130","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2018/02/23 03:00:20.56","SEED_DATA_FROM_APPLICATION","2020/09/09 14:37:57.61","CUSTOMIZED_USER","AEE35DB076175C32E0539E90DF0A0546",""
"EGP_TRADING_PARTNER_ITEMS_DFF","10011","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Trading Partner Item Context","Trading Partner Item Context","","","TEXT_BOX","30","N","","","","N","Y","","2013/08/08 06:34:10.016","SEED_DATA_FROM_APPLICATION","2013/08/08 06:34:10.196","SEED_DATA_FROM_APPLICATION","-1",""
"CN_COMP_PLANS_DFF","283","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Context Segment","Context Segment","Context Segment","","","TEXT_BOX","30","N","","","","N","Y","","2013/08/08 06:37:28.101","SEED_DATA_FROM_APPLICATION","2017/03/19 07:23:47.586","SEED_DATA_FROM_APPLICATION","-1",""
"CN_PLAN_COMPONENTS_DFF","283","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Context Segment","Context Segment","Context Segment","","","TEXT_BOX","30","N","","","","N","Y","","2013/08/08 06:37:28.716","SEED_DATA_FROM_APPLICATION","2017/03/19 07:23:55.49","SEED_DATA_FROM_APPLICATION","-1",""
"CN_PARTICIPANT_DETAIL_DFF","283","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Value","Context Value","","","HIDDEN","30","N","","","","N","Y","","2013/08/08 06:37:28.554","SEED_DATA_FROM_APPLICATION","2013/12/31 06:20:12.172","SEED_DATA_FROM_APPLICATION","-1",""
"CN_TP_BASETRANS_DFF","283","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Business unit sets the context for base transaction attributes.","Business Unit Context for Base Transaction Attributes","Enter Business Unit Context","","","TEXT_BOX","33","N","PARAMETER","CN_TP_BASETRANS_DFF_P1","CN_TP_BASETRANS_DFF_P1","N","Y","","2013/08/08 06:37:29.583","SEED_DATA_FROM_APPLICATION","2013/12/31 06:20:15.216","SEED_DATA_FROM_APPLICATION","-1",""
"VRM_SOURCE_DOCUMENTS","10455","Context Data Element","Context Segment","","SRC_ATTRIBUTE_CATEGORY","Context Segment","","Context Value","Context Value","","","TEXT_BOX","30","N","","","","N","Y","","2013/12/31 06:20:36.195","SEED_DATA_FROM_APPLICATION","2014/07/16 15:24:13.133","SEED_DATA_FROM_APPLICATION","-1",""
"EGP_COMPONENT_DFF","10011","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context","Component Context Types","Context","Context","","","TEXT_BOX","4","N","","","","N","Y","","2013/08/08 06:29:40.255","SEED_DATA_FROM_APPLICATION","2013/08/08 06:29:40.313","SEED_DATA_FROM_APPLICATION","-1",""
"EGO_CHANGE_LINE","10010","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Context Segment Description","Context Segment","Context Segment","","","HIDDEN","4","N","","PRODUCT_CONTEXT","","N","Y","","2013/08/08 06:31:35.016","SEED_DATA_FROM_APPLICATION","2015/04/23 16:34:14.186","CUSTOMIZED_USER","1461987A7D1D09ACE0536204548CD75D",""
"EGO_ENGINEERING_CHANGES","10010","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Context Segment Description","Context Segment","Context Segment","","","TEXT_BOX","4","N","PARAMETER","PRODUCT_CONTEXT","PRODUCT_CONTEXT","N","Y","","2013/08/08 06:31:35.287","SEED_DATA_FROM_APPLICATION","2019/12/20 09:38:42.790113","SEED_DATA_FROM_APPLICATION","-1","ORA_EGO_CHANGE_TYPES_VS"
"WLF_LEARNING_ITEM","10503","Context Data Element","Context Segment","","CO_ATTRIBUTE_CATEGORY","Context Segment","Context Segment","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2017/10/10 19:04:06.291","SEED_DATA_FROM_APPLICATION","2017/11/09 03:09:53.327","CUSTOMIZED_USER","5D84752465D453C2E0538DADFD0A14EA",""
"WLF_LI_COURSE","10503","Context Data Element","Context Segment","","CRS_ATTRIBUTE_CATEGORY","Context Segment","Context Segment","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","Y","","2017/10/10 19:04:14.405","SEED_DATA_FROM_APPLICATION","2020/08/12 12:58:56.0","CUSTOMIZED_USER","ACACCE3E076A45A8E0539E90DF0A2DE5",""
"WLF_LI_OFFERING","10503","Context Data Element","Context Segment","","CLS_ATTRIBUTE_CATEGORY","Context Segment","Context Segment","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2017/10/10 19:04:15.622","SEED_DATA_FROM_APPLICATION","2017/11/09 18:15:33.0","CUSTOMIZED_USER","5D91AE29529822DCE0538DADFD0A0DED",""
"ContractHeaderFlexfield","510","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Contract Type","Context Segment","","","HIDDEN","30","N","PARAMETER","ChrType","ChrType","N","Y","","2013/08/08 06:30:37.014","SEED_DATA_FROM_APPLICATION","2016/06/08 13:36:37.55","CUSTOMIZED_USER","34C261A9132752D1E053CFFBE70AB0DD","OKC_CONTRACT_TYPE"
"OKC_LINES_DESC_FLEX","510","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Award Project Type","Context Value","","","TEXT_BOX","30","N","","","","N","Y","","2013/08/08 06:30:37.679","SEED_DATA_FROM_APPLICATION","2021/02/12 04:58:34.508","CUSTOMIZED_USER","BB1954684FF33D56E0539E90DF0A8352",""
"WIS_WD_OPERATIONS_B","10494","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Context Segment","Context Segment","Context Segment","","","LOV","30","N","","","","N","N","","2016/02/26 09:35:23.256","SEED_DATA_FROM_APPLICATION","2016/02/26 09:35:23.541","SEED_DATA_FROM_APPLICATION","-1",""
"PER_DOCUMENTS_OF_RECORD_DFF","800","Context Data Element","Context Segment","","DEI_ATTRIBUTE_CATEGORY","Context Segment","This is for Context Segment","Context Value","Context Value","","","LOV","30","N","","","","N","N","","2013/08/08 06:37:52.385","SEED_DATA_FROM_APPLICATION","2016/10/19 14:02:46.0","CUSTOMIZED_USER","3F36ED7D10123908E0537AA3FD0A00C0",""
"HRT_PROFILE_ITEMS","10022","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Value","Context Value","","","LOV","30","N","","","","N","Y","","2013/08/08 06:27:56.246","SEED_DATA_FROM_APPLICATION","2019/02/22 12:47:28.0","CUSTOMIZED_USER","827BF998C8724811E053C390DF0A019A",""
"PER_POSITIONS_DFF","800","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","The Context Segment","Context Value","Context Value","","","TEXT_BOX","30","N","","","","N","N","","2013/08/08 06:37:53.395","SEED_DATA_FROM_APPLICATION","2014/02/10 14:32:43.12","SEED_DATA_FROM_APPLICATION","-1",""
"GMS_AWARD_HEADERS_DFF","8402","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Context Segment","Award Additional Details","Context Segment","","","LOV","30","N","","","","N","Y","","2014/07/16 15:24:24.306","SEED_DATA_FROM_APPLICATION","2018/06/06 14:14:39.023","CUSTOMIZED_USER","6DFA9495602567CAE0537990DF0A72FB",""
"AP_INVOICES","200","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","My Group","Context Value","Choose your group.","","LOV","30","N","","","","N","Y","","2013/08/08 06:27:14.345","SEED_DATA_FROM_APPLICATION","2016/11/01 13:57:25.235","CUSTOMIZED_USER","403E9F3C6D2E7B39E0537AA3FD0A17D3",""
"POZ_SUPPLIERS","10044","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Attribute Value","","Attribute Value","Attribute Value","","","HIDDEN","30","N","","","","N","N","","2013/08/08 06:31:32.259","SEED_DATA_FROM_APPLICATION","2013/08/08 06:31:32.308","SEED_DATA_FROM_APPLICATION","-1",""
"PER_PERSONS_DFF","800","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Context Segment for Persons","Context Value","Context Value","","","HIDDEN","30","N","","","","N","Y","","2013/08/08 06:37:08.851","SEED_DATA_FROM_APPLICATION","2022/11/16 07:04:24.653228","SEED_DATA_FROM_APPLICATION","-1",""
"PROJECTS_STD_COST_COLLECTION","10036","Context Data Element","Context Segment","","CONTEXT_CATEGORY","Context Segment","Determines the Project Standard Cost Collection descriptive flexfield context segment values.","Context Value","Context Value","","","LOV","30","N","","","","N","N","","2013/08/08 06:37:49.844","SEED_DATA_FROM_APPLICATION","2016/03/15 14:45:36.015","SEED_DATA_FROM_APPLICATION","-1",""
"IRC_REQUISITIONS_DFF","821","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Requisitions Context Segment","Context Segment","Context Segment","","","HIDDEN","30","N","","","","N","N","","2017/03/19 07:26:36.204","SEED_DATA_FROM_APPLICATION","2019/04/15 18:24:11.0","CUSTOMIZED_USER","869409005653C590E053C390DF0A9AA0",""
"PON_AUCTION_HEADERS","396","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Attribute","","Context Attribute","Context Attribute","","","HIDDEN","30","N","","","","N","N","","2013/08/08 06:33:43.256","SEED_DATA_FROM_APPLICATION","2016/02/26 09:35:29.0","SEED_DATA_FROM_APPLICATION","-1",""
"PER_PERSON_ALLOCATED_TASKS_DFF","800","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","This is Context Segment","Context Value","Context Value","","","TEXT_BOX","30","N","","","","N","N","","2013/08/08 06:31:10.737","SEED_DATA_FROM_APPLICATION","2021/10/19 06:59:57.255","SEED_DATA_FROM_APPLICATION","CE51D3177E0216FBE0530364FD0A6F72",""
"HRM_PLAN_CANDIDATES","10456","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Segment","Context Segment","","","LOV","30","N","","","","N","N","","2014/11/20 14:20:55.233","SEED_DATA_FROM_APPLICATION","2015/07/01 02:05:39.673","SEED_DATA_FROM_APPLICATION","-1",""
"CSE_ASSETS","873","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","Asset Context Segment","Context Segment","Context Segment","","","LOV","30","N","","","","N","N","","2018/03/22 09:36:41.848","SEED_DATA_FROM_APPLICATION","2018/03/22 09:36:49.485","SEED_DATA_FROM_APPLICATION","-1",""
"PER_LOCATIONS_DF","800","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","The Context Segment","Context Value","Context Value","","","TEXT_BOX","30","N","","","","N","N","","2013/08/08 06:37:34.267","SEED_DATA_FROM_APPLICATION","2014/02/05 19:19:50.0","SEED_DATA_FROM_APPLICATION","-1",""
"PER_ASG_DF","800","Context Data Element","Context Segment","","ASS_ATTRIBUTE_CATEGORY","Context Segment","The Context Segment","Context Value","Context Value","","","TEXT_BOX","30","N","","","","N","Y","","2013/08/08 06:37:05.61","SEED_DATA_FROM_APPLICATION","2014/08/07 15:07:57.11","CUSTOMIZED_USER","000BF9B052515C78E0536204548C01CB","GSE_ASG_CONTEXTS"
"PER_CONTRACT_DF","800","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","The Context Segment","Industry Context Value","Context Value","","","LOV","30","N","","","","N","Y","","2013/08/08 06:37:08.968","SEED_DATA_FROM_APPLICATION","2021/08/24 15:13:38.0","CUSTOMIZED_USER","CA147FA1D186695EE0530364FD0A55FA","GSE_CONTRACT_INDUSTRY_CODE"
"PER_PPS_DF","800","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","The Context Segment","Context Value","Context Value","","","HIDDEN","30","N","","","","N","Y","","2013/08/08 06:37:09.885","SEED_DATA_FROM_APPLICATION","2022/11/16 07:04:24.653228","SEED_DATA_FROM_APPLICATION","-1",""
"PJC_EXP_ITEMS_DESC_FLEX","10036","Context Data Element","Context Segment","","ATTRIBUTE_CATEGORY","Context Segment","","Context Prompt","Context Prompt","","","HIDDEN","30","N","","","","N","Y","","2013/08/08 06:34:34.106","SEED_DATA_FROM_APPLICATION","2018/01/05 04:36:29.0","CUSTOMIZED_USER","6200D530EAF3716CE0536AA0FD0A67E4",""
