"ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.StatusRulesetCode","SequenceNumber","StatusCode","OrchestrationApplicationCode","NotifyFlag","CompleteFlag","StatusCode1","CreatedBy","LastUpdatedBy","ConditionDisplayTaskCode","EventEmailEnabledFlag"
"DOO","Copy of Copy of ClickShipCollect1-Version 1","30","AWAIT_CUSTOMER_PICKUP","DOO","Y","N","AWAIT_CUSTOMER_PICKUP","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","80","AWAIT_SETTLEMENT","DOO","N","N","AWAIT_SETTLEMENT","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","40","AWAIT_SHIP","DOO","Y","N","AWAIT_SHIP","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","11","AWAIT_SKU_PICK","DOO","N","N","AWAIT_SKU_PICK","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""AWAIT_SKU_PICK""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","50","BACKORDERED","DOO","N","N","BACKORDERED","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""BACKORDERED""OR""DOO_Ship""=""BACKORDERED""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","90","BILLED","DOO","N","N","BILLED","SCM_IMPL","SCM_IMPL","""Settlement""=""BILLED""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","72","CARRIER_PICKUP_COMPLETE","DOO","N","N","CARRIER_PICKUP_COMPLETE","SCM_IMPL","SCM_IMPL","""CarrierPickup""=""CARRIER_PICKUP_COMPLETE""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","5","CREDIT_CARD_APPROVED","DOO","N","N","CREDIT_CARD_APPROVED","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","75","DELIVERED","DOO","N","N","DELIVERED","SCM_IMPL","SCM_IMPL","""DeliveryConfirmation""=""DELIVER_TO_CUSTOMER""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","60","PICKED","DOO","N","N","PICKED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""AND""CustomerPickup""=""PICKED""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","3","PRE-ORDER","DOO","N","N","PRE-ORDER","SCM_IMPL","SCM_IMPL","""Pre-order""=""WAITING""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","20","RESERVED","DOO","N","N","RESERVED","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","110","RES_MANUAL","DOO","N","N","RES_MANUAL","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","10","SCHEDULED","DOO","N","N","SCHEDULED","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","100","SCH_MANUAL","DOO","N","N","SCH_MANUAL","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","70","SHIPPED","DOO","N","N","SHIPPED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED""",""
"DOO","Copy of Copy of ClickShipCollect1-Version 1","12","SKU_PICKED","DOO","N","N","SKU_PICKED","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""SKU_PICKED""",""
"DOO","Copy of ClickShipCollect1","30","AWAIT_CUSTOMER_PICKUP","DOO","Y","N","AWAIT_CUSTOMER_PICKUP","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP""",""
"DOO","Copy of ClickShipCollect1","80","AWAIT_SETTLEMENT","DOO","N","N","AWAIT_SETTLEMENT","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""",""
"DOO","Copy of ClickShipCollect1","40","AWAIT_SHIP","DOO","Y","N","AWAIT_SHIP","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""",""
"DOO","Copy of ClickShipCollect1","11","AWAIT_SKU_PICK","DOO","N","N","AWAIT_SKU_PICK","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""AWAIT_SKU_PICK""",""
"DOO","Copy of ClickShipCollect1","50","BACKORDERED","DOO","N","N","BACKORDERED","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""BACKORDERED""OR""DOO_Ship""=""BACKORDERED""",""
"DOO","Copy of ClickShipCollect1","90","BILLED","DOO","N","N","BILLED","SCM_IMPL","SCM_IMPL","""Settlement""=""BILLED""",""
"DOO","Copy of ClickShipCollect1","72","CARRIER_PICKUP_COMPLETE","DOO","N","N","CARRIER_PICKUP_COMPLETE","SCM_IMPL","SCM_IMPL","""CarrierPickup""=""CARRIER_PICKUP_COMPLETE""",""
"DOO","Copy of ClickShipCollect1","5","CREDIT_CARD_APPROVED","DOO","N","N","CREDIT_CARD_APPROVED","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED""",""
"DOO","Copy of ClickShipCollect1","75","DELIVERED","DOO","N","N","DELIVERED","SCM_IMPL","SCM_IMPL","""DeliveryConfirmation""=""DELIVER_TO_CUSTOMER""",""
"DOO","Copy of ClickShipCollect1","60","PICKED","DOO","N","N","PICKED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""AND""CustomerPickup""=""PICKED""",""
"DOO","Copy of ClickShipCollect1","20","RESERVED","DOO","N","N","RESERVED","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED""",""
"DOO","Copy of ClickShipCollect1","110","RES_MANUAL","DOO","N","N","RES_MANUAL","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION""",""
"DOO","Copy of ClickShipCollect1","10","SCHEDULED","DOO","N","N","SCHEDULED","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED""",""
"DOO","Copy of ClickShipCollect1","100","SCH_MANUAL","DOO","N","N","SCH_MANUAL","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION""",""
"DOO","Copy of ClickShipCollect1","70","SHIPPED","DOO","N","N","SHIPPED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED""",""
"DOO","Copy of ClickShipCollect1","12","SKU_PICKED","DOO","N","N","SKU_PICKED","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""SKU_PICKED""",""
"DOO","Copy 1 of ClickShipCollect1","30","AWAIT_CUSTOMER_PICKUP","DOO","Y","N","AWAIT_CUSTOMER_PICKUP","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP""",""
"DOO","Copy 1 of ClickShipCollect1","80","AWAIT_SETTLEMENT","DOO","N","N","AWAIT_SETTLEMENT","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""",""
"DOO","Copy 1 of ClickShipCollect1","40","AWAIT_SHIP","DOO","Y","N","AWAIT_SHIP","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""",""
"DOO","Copy 1 of ClickShipCollect1","50","BACKORDERED","DOO","N","N","BACKORDERED","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""BACKORDERED""OR""DOO_Ship""=""BACKORDERED""",""
"DOO","Copy 1 of ClickShipCollect1","90","BILLED","DOO","N","N","BILLED","SCM_IMPL","SCM_IMPL","""Settlement""=""BILLED""",""
"DOO","Copy 1 of ClickShipCollect1","72","CARRIER_PICKUP_COMPLETE","DOO","N","N","CARRIER_PICKUP_COMPLETE","SCM_IMPL","SCM_IMPL","""CarrierPickup""=""CARRIER_PICKUP_COMPLETE""",""
"DOO","Copy 1 of ClickShipCollect1","5","CREDIT_CARD_APPROVED","DOO","N","N","CREDIT_CARD_APPROVED","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED""",""
"DOO","Copy 1 of ClickShipCollect1","75","DELIVERED","DOO","N","N","DELIVERED","SCM_IMPL","SCM_IMPL","""DeliveryConfirmation""=""DELIVER_TO_CUSTOMER""",""
"DOO","Copy 1 of ClickShipCollect1","60","PICKED","DOO","N","N","PICKED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""AND""CustomerPickup""=""PICKED""",""
"DOO","Copy 1 of ClickShipCollect1","20","RESERVED","DOO","N","N","RESERVED","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED""",""
"DOO","Copy 1 of ClickShipCollect1","110","RES_MANUAL","DOO","N","N","RES_MANUAL","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION""",""
"DOO","Copy 1 of ClickShipCollect1","10","SCHEDULED","DOO","N","N","SCHEDULED","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED""",""
"DOO","Copy 1 of ClickShipCollect1","100","SCH_MANUAL","DOO","N","N","SCH_MANUAL","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION""",""
"DOO","Copy 1 of ClickShipCollect1","70","SHIPPED","DOO","N","N","SHIPPED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED""",""
"DOO","Copy 1 of ClickShipCollect1","12","SKU_PICKED","DOO","N","N","SKU_PICKED","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU""=""SKU_PICKED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1600","AWAIT_BILLING","DOO","N","N","AWAIT_BILLING","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","110","AWAIT_FLINE_AGGREGATE","DOO","N","N","AWAIT_FLINE_AGGREGATE","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_FLINE_AGGREGATE""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","120","AWAIT_FULFILLMENT","DOO","N","N","AWAIT_FULFILLMENT","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_FULFILLMENT""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","150","AWAIT_SHIP","DOO","N","N","AWAIT_SHIP","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_SHIP""OR""DOO_Procure""=""VARIOUS""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","500","AWAIT_SHIP","DOO","N","N","AWAIT_SHIP","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""AWAIT_SHIP""OR""DOO_SHIP_BACK_TO_BACK""=""VARIOUS""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1200","AWAIT_SHIP","DOO","N","N","AWAIT_SHIP","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","600","BACKORDERED","DOO","N","N","BACKORDERED","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""BACKORDERED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1300","BACKORDERED","DOO","N","N","BACKORDERED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1700","BILLED","DOO","N","N","BILLED","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","300","CANCEL_PENDING","DOO","N","N","CANCEL_PENDING","SCM_IMPL","SCM_IMPL","""DOO_Supply_Orchestration""=""CANCEL_PENDING""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","220","CHANGE_PENDING","DOO","N","N","CHANGE_PENDING","SCM_IMPL","SCM_IMPL","""DOO_Supply_Orchestration""=""CHANGE_PENDING""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","170","DOO_PO_CHANGE_REJECTED","DOO","N","N","DOO_PO_CHANGE_REJECTED","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_PO_CHANGE_REJECTED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","190","DOO_PRC_CANCEL","DOO","N","N","DOO_PRC_CANCEL","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_PRC_CANCEL""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","140","DOO_REQ_CREATED","DOO","N","N","DOO_REQ_CREATED","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_REQ_CREATED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","130","DOO_REQ_REQUESTED","DOO","N","N","DOO_REQ_REQUESTED","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_REQ_REQUESTED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","200","DOO_SUPPLY_AVAILABLE","DOO","N","N","DOO_SUPPLY_AVAILABLE","SCM_IMPL","SCM_IMPL","""DOO_Supply_Orchestration""=""DOO_SUPPLY_AVAILABLE""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","210","DOO_SUPPLY_REQ_COMPLETE","DOO","N","N","DOO_SUPPLY_REQ_COMPLETE","SCM_IMPL","SCM_IMPL","""DOO_Supply_Orchestration""=""DOO_SUPPLY_REQ_COMPLETE""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","900","PARTIAL_BACK","DOO","N","N","PARTIAL_BACK","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""PARTIAL_BACK""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1900","PARTIAL_BACK","DOO","N","N","PARTIAL_BACK","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","800","PARTIAL_PICK","DOO","N","N","PARTIAL_PICK","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""PARTIAL_PICK""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1800","PARTIAL_PICK","DOO","N","N","PARTIAL_PICK","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","700","PICKED","DOO","N","N","PICKED","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""PICKED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1400","PICKED","DOO","N","N","PICKED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1100","RESERVED","DOO","N","N","RESERVED","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","2010","RES_MANUAL","DOO","N","N","RES_MANUAL","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","100","SCHEDULED","DOO","N","N","SCHEDULED","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","2000","SCH_MANUAL","DOO","N","N","SCH_MANUAL","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","160","SHIPPED","DOO","N","N","SHIPPED","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""SHIPPED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1000","SHIPPED","DOO","N","N","SHIPPED","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""SHIPPED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1500","SHIPPED","DOO","N","N","SHIPPED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","2020","UNSCHEDULED","DOO","N","N","UNSCHEDULED","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""UNSCHEDULED""",""
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","400","WAITING","DOO","N","N","WAITING","SCM_IMPL","SCM_IMPL","""DOO_Pause""=""WAITING""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1550","ASSET_COMPLETED","DOO","N","N","ASSET_COMPLETED","SCM_IMPL","SCM_IMPL","""DOO_AssetManagement""=""ASSET_COMPLETED""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","110","AWAIT_FLINE_AGGREGATE","DOO","N","N","AWAIT_FLINE_AGGREGATE","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_FLINE_AGGREGATE""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","120","AWAIT_FULFILLMENT","DOO","N","N","AWAIT_FULFILLMENT","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_FULFILLMENT""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","150","AWAIT_SHIP","DOO","N","N","AWAIT_SHIP","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""AWAIT_SHIP""OR""DOO_Procure""=""VARIOUS""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","500","AWAIT_SHIP","DOO","N","N","AWAIT_SHIP","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""AWAIT_SHIP""OR""DOO_SHIP_BACK_TO_BACK""=""VARIOUS""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1200","AWAIT_SHIP","DOO","N","N","AWAIT_SHIP","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","600","BACKORDERED","DOO","N","N","BACKORDERED","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""BACKORDERED""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1300","BACKORDERED","DOO","N","N","BACKORDERED","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","300","CANCEL_PENDING","DOO","N","N","CANCEL_PENDING","SCM_IMPL","SCM_IMPL","""DOO_Supply_Orchestration""=""CANCEL_PENDING""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","220","CHANGE_PENDING","DOO","N","N","CHANGE_PENDING","SCM_IMPL","SCM_IMPL","""DOO_Supply_Orchestration""=""CHANGE_PENDING""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","170","DOO_PO_CHANGE_REJECTED","DOO","N","N","DOO_PO_CHANGE_REJECTED","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_PO_CHANGE_REJECTED""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","190","DOO_PRC_CANCEL","DOO","N","N","DOO_PRC_CANCEL","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_PRC_CANCEL""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","140","DOO_REQ_CREATED","DOO","N","N","DOO_REQ_CREATED","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_REQ_CREATED""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","130","DOO_REQ_REQUESTED","DOO","N","N","DOO_REQ_REQUESTED","SCM_IMPL","SCM_IMPL","""DOO_Procure""=""DOO_REQ_REQUESTED""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","200","DOO_SUPPLY_AVAILABLE","DOO","N","N","DOO_SUPPLY_AVAILABLE","SCM_IMPL","SCM_IMPL","""DOO_Supply_Orchestration""=""DOO_SUPPLY_AVAILABLE""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","210","DOO_SUPPLY_REQ_COMPLETE","DOO","N","N","DOO_SUPPLY_REQ_COMPLETE","SCM_IMPL","SCM_IMPL","""DOO_Supply_Orchestration""=""DOO_SUPPLY_REQ_COMPLETE""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","900","PARTIAL_BACK","DOO","N","N","PARTIAL_BACK","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""PARTIAL_BACK""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1900","PARTIAL_BACK","DOO","N","N","PARTIAL_BACK","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","800","PARTIAL_PICK","DOO","N","N","PARTIAL_PICK","SCM_IMPL","SCM_IMPL","""DOO_SHIP_BACK_TO_BACK""=""PARTIAL_PICK""",""
"DOO","Copy of Copy of Copy of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","1800","PARTIAL_PICK","DOO","N","N","PARTIAL_PICK","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK""",""
